report_id,timestamp,text,category,severity,duplicate_of
RPT-0167,2026-09-01 08:37:00,"URGENT, ransomware has hit the student records database, files are inaccessible and there's a countdown timer in the ransom note threatening to delete everything if payment isn't made within 48 hours",malware,high,
RPT-0150,2026-09-01 11:32:00,"An account belonging to someone on maternity leave was used to log into the finance dashboard yesterday, she confirmed she has not touched her work laptop in weeks",account_takeover,high,
RPT-0030,2026-09-01 15:05:00,"URGENT - money don leave one staff account go one account wey we no recognize, the transfer show say e happen this morning around 7am while the actual staff say im dey sleep",account_takeover,high,
RPT-0214,2026-09-01 15:51:00,A contractor badge that was supposed to be returned at the end of a project last month was used to enter a restricted area yesterday,suspicious_activity,medium,
RPT-0139,2026-09-01 20:32:00,"just noting this happened again, dem don try the same fake scholarship email trick on students for the third semester running, some students still dey fall for am unfortunately",phishing,medium,
RPT-0171,2026-09-02 05:16:00,"A staff laptop that was sent for repair last week came back with unusual software installed that IT didn't put there, still investigating whether it's related to the repair shop or something else",malware,medium,
RPT-0208,2026-09-02 06:58:00,"just flagging, a staff member reported someone matching no known employee taking photos of the parking lot and building exterior yesterday afternoon",suspicious_activity,medium,
RPT-0003,2026-09-02 11:19:00,"I clicked on a link that looked like it was from the registrar asking to confirm exam registration, it asked for my student ID and password, I entered both before something felt wrong and I closed the tab. changed my password immediately after",phishing,high,
RPT-0020,2026-09-02 12:59:00,Finance department flagged and blocked an email thread impersonating a known supplier requesting a change of bank account details for an upcoming payment. Payment was paused pending verification. No funds lost.,phishing,medium,
RPT-0014,2026-09-02 16:32:00,My uncle wey work for civil service tell me say dem dey receive fake job offer email wey ask for money before dem go 'process' your appointment. E get like the same style as wetin dem dey send our staff too.,phishing,low,
RPT-0220,2026-09-02 18:18:00,"just a small pattern we noticed, requests to our public API have been coming in with sequential ID numbers, almost like someone is systematically trying every possible value",suspicious_activity,medium,
RPT-0013,2026-09-02 18:42:00,"just a heads up, one of the vendors we work with had their email compromised and it's now sending phishing links to everyone in their contact list including us. Our finance team almost paid an invoice from the fake thread before catching it.",phishing,high,
