report_id,timestamp,text,category,severity,duplicate_of
RPT-0233,2026-09-16 01:42:00,He told me to send my credit card details and I sent it.,phishing,high,
RPT-0234,2026-09-08 04:46:00,Someone called claiming to be from the bank and I ended up reading out my card number and expiry date to them before I realized something was wrong.,phishing,high,
RPT-0235,2026-09-19 07:15:00,"A man came to my desk saying he was from IT and needed my password to fix an issue, I gave it to him before checking his ID.",phishing,high,
RPT-0236,2026-09-30 22:59:00,I told the caller my account PIN because he said it was urgent and sounded like he worked at the bank. I realize now it was probably a scam.,phishing,high,
RPT-0237,2026-09-03 12:44:00,Somebody on the phone asked for the OTP that just came to my number and I read it out to them without thinking.,phishing,high,
RPT-0238,2026-09-04 15:07:00,"A woman called saying she was confirming a delivery and needed my card number to 'verify my address', I gave it to her before hanging up and feeling uneasy.",phishing,high,
RPT-0239,2026-09-25 17:19:00,"I shared my staff login with someone who called claiming to be from head office doing a system audit, only realized after the call that we don't do audits that way.",phishing,high,
RPT-0240,2026-09-05 14:48:00,Somebody texted asking for my BVN to 'reactivate my account' and I sent it before thinking twice.,phishing,high,
RPT-0241,2026-09-17 23:25:00,A caller convinced me he was my bank's fraud team and I gave him my account number and the code that came to my phone right after.,phishing,high,
RPT-0242,2026-09-27 20:33:00,"I gave out my ATM PIN over the phone to someone claiming to be verifying a transaction, only realized afterward that banks don't ask for PINs.",phishing,high,
RPT-0243,2026-09-03 23:21:00,"Someone called asking for my card details claiming to be from the bank, I refused and hung up.",phishing,low,
RPT-0244,2026-09-24 10:15:00,"A caller asked for my account PIN saying it was for verification, I told him banks don't ask for that and ended the call.",phishing,low,
RPT-0245,2026-09-11 02:30:00,"Somebody texted asking me to confirm my BVN for 'account reactivation', I did not respond and reported the number.",phishing,low,
RPT-0246,2026-09-03 00:57:00,"A person came to reception claiming to need a staff password for an urgent fix, security turned him away before he reached anyone.",phishing,medium,
RPT-0247,2026-09-05 05:52:00,"Got a call asking me to read out an OTP for 'verification', I told them I wasn't comfortable and the line went dead immediately.",phishing,low,
